Distrito;PC07;PC21
BALSAS;259;1.142
CHETO;378;204
CHILIQUIN;228;623
CHUQUIBAMBA;623;1.451
GRANADA;143;283
HUANCAS;803;6
LA JALCA;2.351;2.993
LEIMEBAMBA;1.857;2.061
LEVANTO;485;460
MAGDALENA;694;186
MARISCAL CASTILLA;545;587
MOLINOPAMPA;658;1.843
MONTEVIDEO;619;72
OLLEROS;104;251
QUINJALCA;143;791
SAN FRANCISCO DE DAGUAS;228;74
SAN ISIDRO DE MAINO;473;213
SOLOCO;298;1.115
SONCHE;102;126
BAGUA;33.559;38.198
ARAMANGO;2.657;8.785
COPALLIN;1.858;4.268
EL PARCO;651;623
IMAZA;2.798;18.611
LA PECA;25.595;5.911
BONGARA;16.460;11.005
JUMBILLA;1.385;184
CHISQUILLA;140;206
CHURUJA;248;24
COROSHA;100;612
CUISPES;364;418
FLORIDA;3.570;2.629
JAZAN;6.830;1.502
RECTA;80;151
SAN CARLOS;295;72
SHIPASBAMBA;788;562
VALERA;426;836
YAMBRASBAMBA;2.234;3.809
LAMUD;2.010;309
CAMPORREDONDO;3.843;2.233
COCABAMBA;323;1.917
COLCAMAR;1.394;1.001
CONILA;1.193;840
INGUILPATA;410;284
LONGUITA;198;748
LONYA CHICO;345;706
LUYA;2.178;1.975
LUYA VIEJO;413;0
MARIA;458;397
OCALLI;1.377;2.245
OCUMAL;628;3.153
PISUQUIA;245;5.187
PROVIDENCIA;265;1.183
SAN CRISTOBAL;498;209
SAN FRANCISCO DEL YESO;371;422
SAN JERONIMO;365;582
SAN JUAN DE LOPECANCHA;82;471
SANTA CATALINA;423;1.275
SANTO TOMAS;1.106;2.564
TINGO;630;582
TRITA;771;519
SAN NICOLAS;3.356;1.481
CHIRIMOTO;105;1.737
COCHAMAL;433;112
HUAMBO;680;2.488
LIMABAMBA;568;2.061
LONGAR;957;790
MARISCAL BENAVIDES;928;568
